"","champion_id","champion_name","champion_organization","dont.exclude"
"1",1,"Gloo","Gloo",TRUE
"2",2,"CeDAR","CeDAR",TRUE
"3",3,"Compassion International","Compassion International",TRUE
"4",4,"Business As Unusual","Business As Unusual",TRUE
"5",5,"Cru","Cru",TRUE
"6",6,"FamilyLife","FamilyLife",TRUE
"7",7,"Meier Clinics","Meier Clinics",TRUE
"8",8,"Oxygen365","Oxygen365",TRUE
"9",9,"REVEAL For Church: Spiritual Life Survey","REVEAL For Church: Spiritual Life Survey",TRUE
"10",10,"Thirst Project","Thirst Project",TRUE
"11",11,"TYRO","TYRO",TRUE
"12",12,"Test Account","Test Account",FALSE
"13",13,"REVEAL","REVEAL",TRUE
"14",14,"Christian Character Formation Project","Christian Character Formation Project",TRUE
"15",15,"Equip & Inspire","Equip & Inspire",TRUE
"16",16,"Gloo Product","Gloo Product",FALSE
"17",17,"Gloo Initiative","Gloo Initiative",FALSE
"18",18,"Gloo Tech","Gloo Tech",FALSE
"19",19,"Stronger Families","Stronger Families",TRUE
"20",20,"Family Bridges","Family Bridges",TRUE
"21",21,"Guud Intentions","Guud Intentions",TRUE
"22",22,"Chapel","Chapel",TRUE
"23",23,"TYRO Alumni Community","TYRO Alumni Community",TRUE
"24",24,"Date Night","Date Night",TRUE
"25",25,"Orchestra Media Group","Orchestra Media Group",TRUE
"26",26,"UMI Connection","UMI Connection",TRUE
"27",27,"Jimmy Mellado","Jimmy Mellado",TRUE
"28",28,"Great Commandment Network","Great Commandment Network",TRUE
"29",29,"Summer Connect","Summer Connect",TRUE
"30",30,"Boulder Project","Boulder Project",TRUE
"31",31,"Dr. Henry Cloud","Dr. Henry Cloud",TRUE
"32",32,"Civic Character Formation Project","Civic Character Formation Project",TRUE
"33",33,"Gloo Know Team","Gloo Know Team",FALSE
"34",34,"Cru NYC","Cru NYC",TRUE
"35",35,"Jesus Film Media","Jesus Film Media",TRUE
"36",36,"R.I.O.T.","R.I.O.T.",TRUE
"37",37,"Celebration Church","Celebration Church",TRUE
"38",38,"Steve Saavedra","Steve Saavedra",TRUE
"39",39,"Pacific Dental Services","Pacific Dental Services",TRUE
"40",40,"Emily shirk","Emily shirk",FALSE
"41",41,"Gloo Sandbox","Gloo Sandbox",FALSE
"42",42,"Date Night North Texas","Date Night North Texas",TRUE
"43",43,"REVEAL for Me: Spiritual Life Development","REVEAL for Me: Spiritual Life Development",TRUE
"44",44,"Compassion Training & Development","Compassion Training & Development",TRUE
"45",45,"Cru MPD","Cru MPD",TRUE
"46",46,"Hillsdale College","Hillsdale College",TRUE
"47",47,"_qa","_qa",FALSE
"48",48,"Champion Services","Champion Services",TRUE
"49",49,"Jeff S. Fray","Jeff S. Fray",FALSE
"50",50,"Scott Beck","Scott Beck",FALSE
"51",51,"Scott Beck","Scott Beck",TRUE
"52",52,"Jordan Fray","Jordan Fray",FALSE
"53",53,"Christian Life Profile","Christian Life Profile",TRUE
"54",54,"Vinyl-Free Shower Curtains","Vinyl-Free Shower Curtains",FALSE
"55",55,"Remarkable!","Remarkable!",TRUE
"56",56,"InteGREAT","InteGREAT",TRUE
"57",57,"Women at gloo","Women at gloo",TRUE
"58",58,"Anthem Strong Families","Anthem Strong Families",TRUE
"59",59,"Justin Vallelonga","Justin Vallelonga",FALSE
"60",60,"Justin's Champion","Justin's Champion",FALSE
"61",61,"Cornerstone of Recovery","Cornerstone of Recovery",TRUE
"62",62,"Recovery Sample","Recovery Sample",TRUE
"63",63,"Relational Values","Relational Values",TRUE
"64",64,"Soul Care","Soul Care",TRUE
"65",65,"Nathan Ykema","Nathan Ykema",FALSE
"66",66,"Assessments on Gloo","Assessments on Gloo",FALSE
