"champion_id","champion_name","Label"
1,"Gloo","Other"
2,"CeDAR","CeDAR"
3,"Compassion International","Compassion International"
4,"Business As Unusual","Business As Usual"
5,"Cru","Cru"
6,"FamilyLife","FamilyLife"
7,"Meier Clinics","CeDAR"
8,"Oxygen365","Other"
9,"REVEAL For Church: Spiritual Life Survey","REVEAL"
10,"Thirst Project","Other"
11,"TYRO","TYRO"
12,"Test Account","Internal Champion"
13,"REVEAL","REVEAL"
14,"Christian Character Formation Project","CFP"
15,"Equip & Inspire","Other"
16,"Gloo Product","Other"
17,"Gloo Initiative","Other"
18,"Gloo Tech","Other"
19,"Stronger Families","Other"
20,"Family Bridges","Family Bridges"
21,"Guud Intentions","Other"
22,"Chapel","Other"
23,"TYRO Alumni Community","Other"
24,"Date Night","Other"
25,"Orchestra Media Group","Other"
26,"UMI Connection","UMI Connection"
27,"Jimmy Mellado","Other"
28,"Great Commandment Network","Other"
29,"Summer Connect","Cru"
30,"Boulder Project","Other"
31,"Dr. Henry Cloud","Henry Cloud"
32,"Civic Character Formation Project","CFP"
33,"Gloo Know Team","Other"
34,"Cru NYC","Cru"
35,"Jesus Film Media","Other"
36,"R.I.O.T.","Other"
37,"Celebration Church","Other"
38,"Steve Saavedra","Other"
39,"Pacific Dental Services","Other"
40,"Emily shirk","Internal Champion"
41,"Gloo Sandbox","Other"
42,"Date Night North Texas","Other"
43,"REVEAL for Me: Spiritual Life Development","REVEAL"
44,"Compassion Training & Development","Compassion International"
45,"Cru MPD","Cru"
46,"Hillsdale College","Other"
47,"_qa","Internal Champion"
48,"Champion Services","Internal Champion"
49,"Jeff S. Fray","Internal Champion"
50,"Scott Beck","Internal Champion"
51,"Scott Beck","Internal Champion"
52,"Jordan Fray","Internal Champion"
53,"Christian Life Profile","Other"
54,"Vinyl-Free Shower Curtains","Internal Champion"
55,"Remarkable!","Other"
56,"InteGREAT","InteGREAT"
57,"Women at gloo","Other"
58,"Anthem Strong Families","Other"
59,"Justin Vallelonga","Internal Champion"
60,"Justin's Champion","Internal Champion"
61,"Cornerstone of Recovery","Other"
62,"Recovery Sample","Other"
63,"Relational Values","Other"
64,"Soul Care","Other"
65,"Nathan Ykema","Other"
66,"Assessments on Gloo","Other"
67,"Focus on Marriage","Other"
68,"Devon Kline","Internal Champion"
69,"Cru Military","Cru"
70,"A New Path","Other"
71,"Jaywalker Lodge","Other"
72,"Harmony Foundation","Other"
73,"LO Group","Other"
74,"O'Keefe Health and Wellness","Other"
75,"Step 13","Other"
76,"FB Archive","Other"
77,"yolo champion","Internal Champion"
78,"Nico's Champion","Internal Champion"
79,"Gloo Serve","Other"
80,"Grit & Virtue","Other"
81,"Smola","Internal Champion"
82,"FollowApp","Other"
83,"The Cru Sandbox","Other"
84,"Cru Sandbox","Other"
85,"Writers Inc.","Other"
86,"Jeremy Horn","Other"
87,"The Justice Team","Other"
88,"Stadia","Stadia"
89,"Andrew Neumann","Other"
90,"KEEN","Other"
91,"Civic Character Educators","CFP"
92,"Christian Character Educators","CFP"
93,"San Diego Summer Mission","Cru"
94,"Cru San Antonio","Cru"
95,"Cru Reset","Cru"
96,"The Wild Sons","Other"
